Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações;
65228;ABLOK PLUS 25/12,5MG C/60CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 36,74; R$ -   ;Ok;
1432;ABLOK PLUS 50/12,5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;3;3;0;R$ 35,84; R$ -   ;Ok;
1879;ABRILAR 7 MG/ML 100ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;3;3;0;R$ 38,00; R$ -   ;Ok;
56402;ABRILAR HEDERA HELIX MENTOL L. 7MG/ML XPE 200ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 64,72; R$ -   ;Ok;
110244;WEGOVY 1MG+4AG NOVOFINE;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.05 - ANTIMICROB PROP;1;3;2;R$ 1.110,47;R$ 2.220,94;Sobra;
63498;ABS ADAPT SECA SEMPRE LIVRE C/ABAS C/ 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 21,39; R$ -   ;Ok;
73784;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS C/ 32UND(KEN);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;7;7;0;R$ 11,55; R$ -   ;Ok;
110635;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS C/16UND(KENV);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;6;6;0;R$ 7,43; R$ -   ;Ok;
73586;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS LV16 PG14(KENV);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 6,52; R$ -   ;Ok;
57398;ABS ADAPT SV SEMPRE LIVRE C/ABAS  C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;19;19;0;R$ 3,45; R$ -   ;Ok;
57400;ABS ADAPT SV SEMPRE LIVRE C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;12;12;0;R$ 4,04; R$ -   ;Ok;
57399;ABS ADAPT SV SEMPRE LIVRE S/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;23;23;0;R$ 3,52; R$ -   ;Ok;
118576;PROFIG ABACAXI 10ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;1299;587;-712;R$ 0,44;-R$ 313,28;Perda;#N/D
61979;ABS CONFORT MASTER MULT C/ 20UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;5;5;0;R$ 10,06; R$ -   ;Ok;
59703;ABS COTTONBABY LADY C/ ABAS 16 UN;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;5;5;0;R$ 5,13; R$ -   ;Ok;
59438;ABS COTTONBABY LADY C/ABAS C/8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;11;11;0;R$ 2,59; R$ -   ;Ok;
59255;ABS COTTONBABY LADY S/ ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 2,55; R$ -   ;Ok;
111629;ABS DISCRETO KIMBERLY POISE ESCAPE URINA C/ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;7;7;0;R$ 5,55; R$ -   ;Ok;
59431;ABS GER GERIAMAX POS PARTO C/20 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;19;19;0;R$ 10,97; R$ -   ;Ok;
62562;DESODORANTE AER ABOVE SPORT MEN 150ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DES AERO;38;137;99;R$ 6,59;R$ 652,41;Sobra;
57392;ABS INT INTIMUS MINI C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 7,49; R$ -   ;Ok;
57393;ABS INT INTIMUS SUPER C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;8;8;0;R$ 7,93; R$ -   ;Ok;
58228;ABS INT OB MEDIO L10P8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;8;8;0;R$ 8,05; R$ -   ;Ok;
58220;ABS INT OB ORIGINAL SUPER L10P8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 8,00; R$ -   ;Ok;
62746;ABS INT OB PROCOMFORT MEDIO C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 8,59; R$ -   ;Ok;
62420;ABS INT OB PROCOMFORT MEDIO C/16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;6;6;0;R$ 13,65; R$ -   ;Ok;
62001;ABS INT OB PROCOMFORT MINI C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 6,67; R$ -   ;Ok;
65888;ABS INT OB PROCOMFORT SUP C/ 16 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;6;6;0;R$ 13,90; R$ -   ;Ok;
62747;ABS INT OB PROCOMFORT SUPER C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 8,58; R$ -   ;Ok;
111630;ABS LONGO KIMBERLY POISE ESCAPE DE URINA C/ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;5;5;0;R$ 7,46; R$ -   ;Ok;
59600;ABS MAIS CONF NAT C/ABAS LV8PG7UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;12;12;0;R$ 2,15; R$ -   ;Ok;
59135;ABS NAT GEL MAIS S/ABAS  L8P7UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;10;10;0;R$ 2,08; R$ -   ;Ok;
71192;ABS NOIT TRANQ ALWAYS C/ ABAS XG 8;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 9,12; R$ -   ;Ok;
61164;ABS NOT ALWAYS ACT C/ ABAS SEC LV32P28;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 23,48; R$ -   ;Ok;
63619;ABS NOT SECA  INTIMUS C/ ABAS C /30UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 16,14; R$ -   ;Ok;
61223;ABS NOT SECA ALWAYS  C/ ABAS L8P7UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 6,86; R$ -   ;Ok;
60119;ABS NOT SECA ALWAYS C/ABAS 10UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;7;7;0;R$ 23,83; R$ -   ;Ok;
57394;ABS NOT SECA INTIMUS C/ ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 5,80; R$ -   ;Ok;
60466;ABS NOT SECA SEMPRE LIVRE C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;7;7;0;R$ 5,95; R$ -   ;Ok;
61596;ABS NOT SV  ALWAYS C/ ABAS 32 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;15;15;0;R$ 25,10; R$ -   ;Ok;
60121;ABS NOT SV ALWAYS  C/ ABAS 16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 12,24; R$ -   ;Ok;
71484;ABS NOT SV ALWAYS  C/ABAS LV10PG8;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 8,16; R$ -   ;Ok;
61222;ABS NOT SV ALWAYS C/ ABAS L8P7;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 7,23; R$ -   ;Ok;
63175;ABS NOT SV CLIN OFF  C/ABAS LV8PG7UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 3,58; R$ -   ;Ok;
57390;ABS NOT SV INTIMUS  C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 5,81; R$ -   ;Ok;
63652;ABS NOT SV INTIMUS C/ ABAS  C/ 30UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 17,94; R$ -   ;Ok;
57397;ABS NOT SV SEMPRE LIVRE C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;8;8;0;R$ 6,37; R$ -   ;Ok;
59257;ABS NOT SV SEMPRE LIVRE C/ABAS L32P24UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;9;9;0;R$ 20,60; R$ -   ;Ok;
70652;ABS NOT TRANQ ALWAYS XG C/ABAS 26UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 25,35; R$ -   ;Ok;
111632;ABS NOTURNO KIMBERLY POISE ESCAPE URINA C/ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;7;7;0;R$ 8,27; R$ -   ;Ok;
111631;ABS NOTURNO MAX KIMBERLY POISE ESCAPE URINA 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;5;5;0;R$ 21,20; R$ -   ;Ok;
61683;ABS SECA  ALWAYS C/ABAS 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 9,92; R$ -   ;Ok;
61552;ABS SV ALWAYS  C/ ABAS 16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;9;8;-1;R$ 5,30;-R$ 5,30;Ajustado;7,89E+12
65754;ABS SEIO CREMER C/12UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;9;9;0;R$ 10,98; R$ -   ;Ok;
61636;ABS SEIO YORK C/ 12UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;2;2;0;R$ 9,60; R$ -   ;Ok;
62095;ABS SEMPRE LIVRE NOT.  C/ABAS SV C/ 16UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;7;7;0;R$ 12,73; R$ -   ;Ok;
71885;ABS SV  MODESS C/ABAS 32UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;10;10;0;R$ 6,94; R$ -   ;Ok;
61020;CLENIL HFA SPRAY 200MCG 200 DOSES (CHIESI) FP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;11;6;-5;R$ 59,80;-R$ 299,00;Perda;0
62278;ABS SV ALWAYS C/ ABAS C/32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 9,93; R$ -   ;Ok;
61326;ABS SV ALWAYS PINK C/ABA 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 16,43; R$ -   ;Ok;
76272;ABS SV CLIN OFF C/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;12;12;0;R$ 2,26; R$ -   ;Ok;
60122;ABS SV CLIN OFF S/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;8;8;0;R$ 2,26; R$ -   ;Ok;
63618;ABS SV D&N  INTIMUS C/ABAS C/28UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;6;6;0;R$ 19,16; R$ -   ;Ok;
71884;ABS SV MODESS C/ABAS 16UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;10;10;0;R$ 3,76; R$ -   ;Ok;
71889;ABS SV MODESS NOTURNO C/ABAS 8UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;10;10;0;R$ 3,20; R$ -   ;Ok;
71988;ABS SV MODESS S/ABAS 8UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;15;15;0;R$ 2,21; R$ -   ;Ok;
71886;ABS SV MODESS SUAVE C/ABAS 8UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;11;11;0;R$ 2,08; R$ -   ;Ok;
59019;ABS TR PRO SECA  INTIMUS C/ABAS C/32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 10,18; R$ -   ;Ok;
57387;ABS TR PRO SECA INTIMUS C/ABAS  C/8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 2,97; R$ -   ;Ok;
58470;ABS TR PRO SECA INTIMUS C/ABAS C/16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 6,16; R$ -   ;Ok;
59018;ABS TR PRO SV INTIMUS C/ABAS  32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 10,42; R$ -   ;Ok;
56858;JANUVIA 100MG C/ 28CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;4;2;-2;R$ 139,33;-R$ 278,66;Perda;#N/D
62169;DIPIRONA SODICA  500MG C/ 10CP (GREEN);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;1849;2210;361;R$ 1,65;R$ 595,65;Sobra;
70125;FRALDA BABYSEC SHORTINHO HIPER XG 42 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS INFANTIS;5;0;-5;R$ 53,07;-R$ 265,35;Perda;0
68859;TIRAS P/GLICEMIA ONE TOUC SELECT PLUS LV100 PG75UN;PRINCIPAL > 4 - DIAMANTES > DIAMANTE 0 - 5%;10;7;-3;R$ 82,72;-R$ 248,16;Perda;#N/D
56696;LANSOPRAZOL+CLARIT+AMOXIC C/ 84CAPS;PRINCIPAL > 2 - GENÉRICOS > GEN ANTIMI ULT ONE;6;2;-4;R$ 62,02;-R$ 248,08;Perda;#N/D
58996;CORTADORES DE UNHAS UNHEX C/ 01 UN;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;1;29;28;R$ 11,03;R$ 308,84;Sobra;
58465;ABSORVENTE INTIMUS COBERTURA SECA SEM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 4,11; R$ -   ;Ok;
57388;ABSORVENTE INTIMUS TP COBERTURA SUAVE COM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;6;6;0;R$ 2,87; R$ -   ;Ok;
57389;ABSORVENTE INTIMUS TP COBERTURA SUAVE SEM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 3,28; R$ -   ;Ok;
59968;ABSORVENTE NOTURNO ALWAYS SECA COM ABAS 16 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 12,00; R$ -   ;Ok;
63760;ABSORVENTE TENA LADY DISCREET MAXI NIGHT 6 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;8;8;0;R$ 16,25; R$ -   ;Ok;
961;ACALMIL FITO C/ 20CP REV;PRINCIPAL > 3 - SIMILARES > SIM USO CONT;1;1;0;R$ 11,73; R$ -   ;Ok;
73598;ACEBROFILINA 25MG/5ML XPE PED 120ML (ACHE);PRINCIPAL > 2 - GENÉRICOS > GEN RX;6;6;0;R$ 8,00; R$ -   ;Ok;
592;ACEBROFILINA 25MG/5ML XPE PED 120ML (CIMED);PRINCIPAL > 2 - GENÉRICOS > GEN RX ONE;2;2;0;R$ 7,20; R$ -   ;Ok;
401;ACEBROFILINA 25MG/5ML XPE PED 120ML (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;18;18;0;R$ 10,19; R$ -   ;Ok;
73261;ACEBROFILINA 25MG/5ML XPE PED 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;36;36;0;R$ 8,37; R$ -   ;Ok;
118222;ACEBROFILINA 25MG/5ML XPE PED 120ML (NEOQ);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;3;3;0;R$ 9,11; R$ -   ;Ok;
118239;ACEBROFILINA 25MG/5ML XPE PED 120ML (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 9,13; R$ -   ;Ok;
118242;ACEBROFILINA 50MG/5ML XPE ADT 120ML (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;3;3;0;R$ 13,90; R$ -   ;Ok;
61594;AP DE PRESSAO PULSO OMRON DIGITAL HEM6124;PRINCIPAL > 4 - DIAMANTES > DIAMANTE 0 - 5%;5;7;2;R$ 133,87;R$ 267,74;Sobra;
950;ACEBROFILINA 50MG/ML XPE ADT 120ML (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 14,54; R$ -   ;Ok;
73363;ACEBROFILINA 50MG/ML XPE ADT 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;13;14;1;R$ 10,45;R$ 10,45;Sobra Justificada;
118178;ACEBROFILINA 50MG/ML XPE ADT 120ML (GERMED);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;4;4;0;R$ 15,36; R$ -   ;Ok;
73764;ACEBROFILINA 50MG/ML XPE ADT 120ML (TEUTO);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;8;7;-1;R$ 10,13;-R$ 10,13;Similaridade;
73778;ACECLOFENACO 100MG 12CP (CIMED);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;1;1;0;R$ 4,36; R$ -   ;Ok;
118240;ACECLOFENACO 100MG 12CP (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;3;3;0;R$ 9,92; R$ -   ;Ok;
118182;ACECLOFENACO 15MG/G 30G (GERMED);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;3;3;0;R$ 26,61; R$ -   ;Ok;
603;ACERATUM GTS 10ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;7;7;0;R$ 12,74; R$ -   ;Ok;
68973;ACERTALIX 10/2,5MG C/30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 93,07; R$ -   ;Ok;
68974;ACERTALIX 5/1,25MGC/30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;3;3;0;R$ 66,50; R$ -   ;Ok;
63608;ACERTANLO 7 MG/5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;2;2;0;R$ 67,00; R$ -   ;Ok;
59707;ACERTIL 10MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;2;2;0;R$ 75,38; R$ -   ;Ok;
72767;PERMANGANATO DE POTASSIO C/10CP;PRINCIPAL > 5 - PERFUMARIA > DIVERSOS > OFICINAIS;0;119;119;R$ 1,77;R$ 210,63;Sobra;
394;ACETILCISTEINA 100MG/ML INJ 5 AMPOLAS 3ML (UNIAOQ);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 18,67; R$ -   ;Ok;
791;ACETILCISTEINA 200MG 16 ENVELOPES 5G (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;6;6;0;R$ 22,77; R$ -   ;Ok;
73929;ACETILCISTEINA 20MG/ML XPE PED 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC SEM ONE;14;14;0;R$ 10,39; R$ -   ;Ok;
59043;DECONGEX PLUS C/ 04CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;37;10;-27;R$ 8,40;-R$ 226,80;Perda;#N/D
578;ALMEIDA PRADO N-46 C/ 60CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;5;3;-2;R$ 26,68;-R$ 53,36;Ajustado;2,02E+11
102016;ACETILCISTEINA 20MG/ML XPE PED 120ML (UNIAOQ);PRINCIPAL > 2 - GENÉRICOS > GEN_OTC/MIP;7;7;0;R$ 10,79; R$ -   ;Ok;
73408;ACETILCISTEINA 40MG/ML XPE ADT 120ML (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;19;19;0;R$ 11,23; R$ -   ;Ok;
63948;ACETILCISTEINA 40MG/ML XPE ADT 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;3;3;0;R$ 16,55; R$ -   ;Ok;
73406;ACETILCISTEINA 40MG/ML XPE ADT 120ML (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;14;14;0;R$ 10,76; R$ -   ;Ok;
73436;ACETILCISTEINA 600MG 16 ENVELOPES 5G (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN_OTC/MIP;15;15;0;R$ 25,28; R$ -   ;Ok;
1595;ACETILCISTEINA 600MG 16 ENVELOPES 5G (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;12;12;0;R$ 25,18; R$ -   ;Ok;
73443;ACETILCISTEINA 600MG 16 ENVELOPES 5G (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;1;1;0;R$ 23,68; R$ -   ;Ok;
65844;ACEVITON 1G C/ 30CP EFERV;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;1;1;0;R$ 15,29; R$ -   ;Ok;
63734;ACEVITON ZINCO  EFER C/10CP;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;16;16;0;R$ 5,24; R$ -   ;Ok;
1870;ACHEFLAN AER TOP 5MG/G C/75ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 69,53; R$ -   ;Ok;
56032;ACICLOVIR 200MG 10CP (RANBAXY);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 11,43; R$ -   ;Ok;
102374;ACICLOVIR 200MG 25CP (GERMED);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;6;6;0;R$ 8,83; R$ -   ;Ok;
73509;ACICLOVIR 200MG 25CP (SANDOZ);PRINCIPAL > 2 - GENÉRICOS > GEN RX;3;3;0;R$ 14,01; R$ -   ;Ok;
73695;ACICLOVIR 200MG 25CP (TEUTO);PRINCIPAL > 2 - GENÉRICOS > GEN RX;1;1;0;R$ 8,18; R$ -   ;Ok;
106548;ACICLOVIR 200MG 30CP (PRATI);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;3;3;0;R$ 8,73; R$ -   ;Ok;
66989;ACICLOVIR 200MG 50CP (SANDOZ);PRINCIPAL > 2 - GENÉRICOS > GEN RX;5;5;0;R$ 21,38; R$ -   ;Ok;
66210;ACICLOVIR 400MG 30CP (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;3;3;0;R$ 50,41; R$ -   ;Ok;
118197;ACICLOVIR 400MG 30CP (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN RX;4;4;0;R$ 42,88; R$ -   ;Ok;
73541;ACICLOVIR 400MG 30CP (SANDOZ);PRINCIPAL > 2 - GENÉRICOS > GEN RX;5;5;0;R$ 48,44; R$ -   ;Ok;
560;ACICLOVIR CREME 50MG/G 10G (ACHE);PRINCIPAL > 2 - GENÉRICOS > GEN RX;4;4;0;R$ 6,69; R$ -   ;Ok;
