Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações
110639;ABS ADAPT DIURNO SUAVE SEMPRE LIVRE C/ABAS C/ 32UND(KEN);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 15,16; R$ -   ;Ok
63498;ABS ADAPT SECA SEMPRE LIVRE C/ABAS C/ 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 18,77; R$ -   ;Ok
73784;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS C/ 32UND(KEN);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;21;21;0;R$ 10,74; R$ -   ;Ok
73586;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS LV16 PG14(KENV);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;29;29;0;R$ 5,97; R$ -   ;Ok
57398;ABS ADAPT SV SEMPRE LIVRE C/ABAS  C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;60;63;3;R$ 3,03;R$ 9,09;Sobra
57400;ABS ADAPT SV SEMPRE LIVRE C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 4,10; R$ -   ;Ok
795;GLIFAGE XR 500MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1126;1086;-40;R$ 7,34;-R$ 293,60;Perda
61979;ABS CONFORT MASTER MULT C/ 20UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;2;2;0;R$ 9,99; R$ -   ;Ok
111629;ABS DISCRETO KIMBERLY POISE ESCAPE URINA C/ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;1;1;0;R$ 6,74; R$ -   ;Ok
57391;ABS INT INTIMUS MEDIO C 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 8,56; R$ -   ;Ok
57392;ABS INT INTIMUS MINI C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 7,44; R$ -   ;Ok
69355;CHIP VIVO COMBO TURBO C/RECARGA;PRINCIPAL > 5 - PERFUMARIA > DIVERSOS > ACESSORIOS;22;5;-17;R$ 17,00;-R$ 289,00;Perda
58228;ABS INT OB MEDIO L10P8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 7,39; R$ -   ;Ok
58220;ABS INT OB ORIGINAL SUPER L10P8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;7;7;0;R$ 7,63; R$ -   ;Ok
62746;ABS INT OB PROCOMFORT MEDIO C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 8,11; R$ -   ;Ok
62420;ABS INT OB PROCOMFORT MEDIO C/16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 13,51; R$ -   ;Ok
62001;ABS INT OB PROCOMFORT MINI C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 8,21; R$ -   ;Ok
65888;ABS INT OB PROCOMFORT SUP C/ 16 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;7;7;0;R$ 13,35; R$ -   ;Ok
62747;ABS INT OB PROCOMFORT SUPER C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 8,46; R$ -   ;Ok
106669;ABS INTERNO INTIMUS MEDIO LV16PG15UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 14,25; R$ -   ;Ok
106671;ABS INTERNO INTIMUS SUPER LV16 PG15UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 13,52; R$ -   ;Ok
77011;ABS INTIMUNS FEM ULTRA FINO ANTIBAC 8 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;1;1;0;R$ 3,66; R$ -   ;Ok
111630;ABS LONGO KIMBERLY POISE ESCAPE DE URINA C/ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;1;1;0;R$ 7,24; R$ -   ;Ok
59600;ABS MAIS CONF NAT C/ABAS LV8PG7UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 1,96; R$ -   ;Ok
61321;ABS MILI D&N COBERTURA SV C/16UND;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;5;5;0;R$ 6,10; R$ -   ;Ok
102170;TYLENOL DC 500/65MG 4CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.07 - OTC/MIP;42;0;-42;R$ 6,39;-R$ 268,38;Perda
77644;ABS MILI DIA&NOITE SUAVE C/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;5;5;0;R$ 3,18; R$ -   ;Ok
102156;ABS MILI NOTURNO  SUAVE CABAS 32 UNID;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;6;6;0;R$ 14,46; R$ -   ;Ok
108018;ABS MILI NOTURNO SUAVE C/ABAS 16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;19;19;0;R$ 7,42; R$ -   ;Ok
77370;ABS MILI NOTURNO SUAVE C/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;9;9;0;R$ 3,92; R$ -   ;Ok
102584;ABS MILI P TOTAL SUAVE SUAVE C/AB 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 9,43; R$ -   ;Ok
108881;ABS MILI PROT TOTAL  SUAVE S/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;6;6;0;R$ 2,62; R$ -   ;Ok
108882;ABS MILI PROT TOTAL SECA C/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 2,94; R$ -   ;Ok
108883;ABS MILI PROT TOTAL SUAVE C/ABAS 16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 4,83; R$ -   ;Ok
77643;ABS MILI PROT TOTAL SUAVE C/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 2,62; R$ -   ;Ok
59135;ABS NAT GEL MAIS S/ABAS  L8P7UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 1,97; R$ -   ;Ok
71192;ABS NOIT TRANQ ALWAYS C/ ABAS XG 8;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 9,82; R$ -   ;Ok
63619;ABS NOT SECA  INTIMUS C/ ABAS C /30UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 21,17; R$ -   ;Ok
61223;ABS NOT SECA ALWAYS  C/ ABAS L8P7UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 7,71; R$ -   ;Ok
60466;ABS NOT SECA SEMPRE LIVRE C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 6,76; R$ -   ;Ok
61596;ABS NOT SV  ALWAYS C/ ABAS 32 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 26,56; R$ -   ;Ok
60121;ABS NOT SV ALWAYS  C/ ABAS 16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 13,97; R$ -   ;Ok
71484;ABS NOT SV ALWAYS  C/ABAS LV10PG8;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;2;1;R$ 8,79;R$ 8,79;Sobra
59675;NEOSALDINA  ENV C/ 10DRG;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;21;0;-21;R$ 12,37;-R$ 259,77;Perda
57390;ABS NOT SV INTIMUS  C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 5,94; R$ -   ;Ok
63620;ABS NOT SV INTIMUS C/ ABAS  C/ 16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 11,88; R$ -   ;Ok
63652;ABS NOT SV INTIMUS C/ ABAS  C/ 30UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 19,95; R$ -   ;Ok
57397;ABS NOT SV SEMPRE LIVRE C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 6,83; R$ -   ;Ok
59257;ABS NOT SV SEMPRE LIVRE C/ABAS L32P24UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 21,64; R$ -   ;Ok
111632;ABS NOTURNO KIMBERLY POISE ESCAPE URINA C/ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 7,78; R$ -   ;Ok
111631;ABS NOTURNO MAX KIMBERLY POISE ESCAPE URINA 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 21,42; R$ -   ;Ok
66424;ABS P/SEIOS CREMER LV30PG24UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;2;2;0;R$ 21,66; R$ -   ;Ok
118291;ABS PARA SEIOS COTTONBABY MATERNA 30 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 17,61; R$ -   ;Ok
61683;ABS SECA  ALWAYS C/ABAS 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 13,02; R$ -   ;Ok
61551;ABS SECA ALWAYS  C/ ABAS 16 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 5,90; R$ -   ;Ok
65754;ABS SEIO CREMER C/12UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;3;3;0;R$ 10,96; R$ -   ;Ok
62095;ABS SEMPRE LIVRE NOT.  C/ABAS SV C/ 16UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 12,86; R$ -   ;Ok
61552;ABS SV ALWAYS  C/ ABAS 16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 6,63; R$ -   ;Ok
62278;ABS SV ALWAYS C/ ABAS C/32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;21;21;0;R$ 13,02; R$ -   ;Ok
63618;ABS SV D&N  INTIMUS C/ABAS C/28UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 21,20; R$ -   ;Ok
59019;ABS TR PRO SECA  INTIMUS C/ABAS C/32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 10,54; R$ -   ;Ok
57387;ABS TR PRO SECA INTIMUS C/ABAS  C/8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 3,51; R$ -   ;Ok
58470;ABS TR PRO SECA INTIMUS C/ABAS C/16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 5,69; R$ -   ;Ok
59018;ABS TR PRO SV INTIMUS C/ABAS  32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;13;13;0;R$ 10,53; R$ -   ;Ok
58469;ABS TR PRO SV INTIMUS C/ABAS  C/16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 6,46; R$ -   ;Ok
64010;ABS ULTRAF ANTIBAC INTIMUS C/ 14UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 5,80; R$ -   ;Ok
64011;ABS ULTRAF INTIMUS C/ ABAS C/28UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 12,44; R$ -   ;Ok
76285;ABSORVENTE ALWAYS SECA TAM P COM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;38;38;0;R$ 2,11; R$ -   ;Ok
76297;ABSORVENTE ALWAYS SECA TAM P SEM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;57;57;0;R$ 2,11; R$ -   ;Ok
75924;ABSORVENTE ALWAYS SUAVE TAM P COM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;7;11;4;R$ 2,11;R$ 8,44;Sobra
66295;ABSORVENTE ALWAYS SUAVE TAM P COM ABAS LEVE10 PAGUE8;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;34;34;0;R$ 2,11; R$ -   ;Ok
62079;ALIVIUM 400MG C/ 3CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;31;0;-31;R$ 7,74;-R$ 239,94;Perda
58465;ABSORVENTE INTIMUS COBERTURA SECA SEM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 3,46; R$ -   ;Ok
57388;ABSORVENTE INTIMUS TP COBERTURA SUAVE COM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;6;6;0;R$ 3,35; R$ -   ;Ok
57389;ABSORVENTE INTIMUS TP COBERTURA SUAVE SEM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;6;6;0;R$ 3,89; R$ -   ;Ok
63760;ABSORVENTE TENA LADY DISCREET MAXI NIGHT 6 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;4;4;0;R$ 17,38; R$ -   ;Ok
62421;ABSORVENTE ULTRA PLENITUD FEMME 8 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;1;1;0;R$ 6,24; R$ -   ;Ok
64442;ACALENTUS 250 MG C/ 60CP;PRINCIPAL > 3 - SIMILARES > SIM_LIBERADO;1;1;0;R$ 34,76; R$ -   ;Ok
961;ACALMIL FITO C/ 20CP REV;PRINCIPAL > 3 - SIMILARES > SIM USO CONT;1;1;0;R$ 11,63; R$ -   ;Ok
73598;ACEBROFILINA 25MG/5ML XPE PED 120ML (ACHE);PRINCIPAL > 2 - GENÉRICOS > GEN RX;4;4;0;R$ 7,89; R$ -   ;Ok
592;ACEBROFILINA 25MG/5ML XPE PED 120ML (CIMED);PRINCIPAL > 2 - GENÉRICOS > GEN RX ONE;1;1;0;R$ 6,59; R$ -   ;Ok
401;ACEBROFILINA 25MG/5ML XPE PED 120ML (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 10,21; R$ -   ;Ok
73261;ACEBROFILINA 25MG/5ML XPE PED 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;3;3;0;R$ 8,56; R$ -   ;Ok
118222;ACEBROFILINA 25MG/5ML XPE PED 120ML (NEOQ);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 9,44; R$ -   ;Ok
118239;ACEBROFILINA 25MG/5ML XPE PED 120ML (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 7,96; R$ -   ;Ok
118242;ACEBROFILINA 50MG/5ML XPE ADT 120ML (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;1;1;0;R$ 13,41; R$ -   ;Ok
73552;ACEBROFILINA 50MG/ML XPE ADT 120ML (ACHE);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;3;3;0;R$ 11,02; R$ -   ;Ok
950;ACEBROFILINA 50MG/ML XPE ADT 120ML (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;1;1;0;R$ 15,12; R$ -   ;Ok
73363;ACEBROFILINA 50MG/ML XPE ADT 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 10,72; R$ -   ;Ok
118178;ACEBROFILINA 50MG/ML XPE ADT 120ML (GERMED);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 15,42; R$ -   ;Ok
73778;ACECLOFENACO 100MG 12CP (CIMED);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 4,29; R$ -   ;Ok
102249;ACECLOFENACO 100MG 12CP (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 10,00; R$ -   ;Ok
118240;ACECLOFENACO 100MG 12CP (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;4;4;0;R$ 9,18; R$ -   ;Ok
118182;ACECLOFENACO 15MG/G 30G (GERMED);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 26,75; R$ -   ;Ok
603;ACERATUM GTS 10ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;4;4;0;R$ 12,93; R$ -   ;Ok
59707;ACERTIL 10MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 70,86; R$ -   ;Ok
509;ACETILCISTEINA 100MG 16 ENVELOPES 5G (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;4;4;0;R$ 15,29; R$ -   ;Ok
394;ACETILCISTEINA 100MG/ML INJ 5 AMPOLAS 3ML (UNIAOQ);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 18,41; R$ -   ;Ok
791;ACETILCISTEINA 200MG 16 ENVELOPES 5G (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;6;6;0;R$ 23,26; R$ -   ;Ok
73929;ACETILCISTEINA 20MG/ML XPE PED 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC SEM ONE;3;3;0;R$ 9,02; R$ -   ;Ok
103484;ACETILCISTEINA 20MG/ML XPE PED 120ML (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN_OTC/MIP;3;4;1;R$ 9,65;R$ 9,65;Sobra
102016;ACETILCISTEINA 20MG/ML XPE PED 120ML (UNIAOQ);PRINCIPAL > 2 - GENÉRICOS > GEN_OTC/MIP;1;1;0;R$ 10,94; R$ -   ;Ok
73408;ACETILCISTEINA 40MG/ML XPE ADT 120ML (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;5;5;0;R$ 11,24; R$ -   ;Ok
63948;ACETILCISTEINA 40MG/ML XPE ADT 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;2;2;0;R$ 17,04; R$ -   ;Ok
73406;ACETILCISTEINA 40MG/ML XPE ADT 120ML (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;4;4;0;R$ 10,34; R$ -   ;Ok
73436;ACETILCISTEINA 600MG 16 ENVELOPES 5G (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN_OTC/MIP;4;4;0;R$ 25,26; R$ -   ;Ok
1595;ACETILCISTEINA 600MG 16 ENVELOPES 5G (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;2;2;0;R$ 25,26; R$ -   ;Ok
73443;ACETILCISTEINA 600MG 16 ENVELOPES 5G (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;1;1;0;R$ 24,17; R$ -   ;Ok
1870;ACHEFLAN AER TOP 5MG/G C/75ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 66,89; R$ -   ;Ok
56135;ACHEFLAN CR 60G;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;2;2;0;R$ 82,60; R$ -   ;Ok
102374;ACICLOVIR 200MG 25CP (GERMED);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;1;1;0;R$ 10,70; R$ -   ;Ok
73509;ACICLOVIR 200MG 25CP (SANDOZ);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 14,47; R$ -   ;Ok
73695;ACICLOVIR 200MG 25CP (TEUTO);PRINCIPAL > 2 - GENÉRICOS > GEN RX;4;4;0;R$ 8,67; R$ -   ;Ok
106548;ACICLOVIR 200MG 30CP (PRATI);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 8,46; R$ -   ;Ok
66989;ACICLOVIR 200MG 50CP (SANDOZ);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 19,89; R$ -   ;Ok
66210;ACICLOVIR 400MG 30CP (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 49,86; R$ -   ;Ok
118197;ACICLOVIR 400MG 30CP (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 40,94; R$ -   ;Ok
73541;ACICLOVIR 400MG 30CP (SANDOZ);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 48,81; R$ -   ;Ok
560;ACICLOVIR CREME 50MG/G 10G (ACHE);PRINCIPAL > 2 - GENÉRICOS > GEN RX;1;1;0;R$ 7,77; R$ -   ;Ok
73289;ACICLOVIR CREME 50MG/G 10G (MEDLEY);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;1;1;0;R$ 6,73; R$ -   ;Ok
73669;ACICLOVIR CREME 50MG/G 10G (TEUTO);PRINCIPAL > 2 - GENÉRICOS > GEN RX;3;3;0;R$ 4,21; R$ -   ;Ok
73562;ACIDO ACETILSALICILICO 100MG 10CP (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ONE;15;15;0;R$ 2,07; R$ -   ;Ok
1594;ACIDO FUSIDICO+BETAMETASONA CREME DERM 15G (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN ANTIMI ULT ONE;2;2;0;R$ 44,20; R$ -   ;Ok
119;ACIDO MEFENAMICO 500MG 12CP (MEDLEY);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 7,46; R$ -   ;Ok
73281;ACIDO MEFENAMICO 500MG 24CP (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;3;3;0;R$ 14,36; R$ -   ;Ok
73321;ACIDO MEFENAMICO 500MG 24CP (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN RX ONE;2;2;0;R$ 11,88; R$ -   ;Ok
73282;ACIDO MEFENAMICO 500MG 24CP (MEDLEY);PRINCIPAL > 2 - GENÉRICOS > GEN RX ONE;2;2;0;R$ 10,77; R$ -   ;Ok
73432;ACIDO TRANEXAMICO 250MG 12CP (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;4;4;0;R$ 45,73; R$ -   ;Ok
73442;ACIDO TRANEXAMICO 250MG 12CP (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 42,16; R$ -   ;Ok
118149;ACIDO URSODESOXICOLICO 150MG 30CP (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;1;1;0;R$ 45,42; R$ -   ;Ok
118267;ACIDO URSODESOXICOLICO 300MG 30CP (RANBAXY);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 85,73; R$ -   ;Ok
63523;ACIDO VALPROICO 250MG 25CAPS (BIOLAB);PRINCIPAL > 2 - GENÉRICOS > GEN CONTROL ULT ONE;2;2;0;R$ 13,81; R$ -   ;Ok
